UID,Summary,Categories,Start,End
sl_77@mommy.internal,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-01-15,2024-01-16
sl_78@mommy.internal,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-01-25,2024-01-26
sl_79@mommy.internal,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-02-04,2024-02-05
sl_80@mommy.internal,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-02-23,2024-02-24
sl_81@mommy.internal,Maha Sivarathri Day *†,"- Public Holiday
- Bank Holiday",2024-03-08,2024-03-09
sl_82@mommy.internal,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-03-24,2024-03-25
sl_83@mommy.internal,Good Friday *†,"- Public Holiday
- Bank Holiday",2024-03-29,2024-03-30
sl_84@mommy.internal,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2024-04-11,2024-04-12
sl_85@mommy.internal,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-04-12,2024-04-13
sl_86@mommy.internal,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-04-13,2024-04-14
sl_87@mommy.internal,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-04-23,2024-04-24
sl_88@mommy.internal,May Day (International Workers’ Day) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-05-01,2024-05-02
sl_89@mommy.internal,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-05-23,2024-05-24
sl_90@mommy.internal,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-05-24,2024-05-25
sl_91@mommy.internal,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2024-06-17,2024-06-18
sl_92@mommy.internal,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-06-21,2024-06-22
sl_93@mommy.internal,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-07-20,2024-07-21
sl_94@mommy.internal,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-08-19,2024-08-20
sl_95@mommy.internal,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-09-16,2024-09-17
sl_96@mommy.internal,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-09-17,2024-09-18
sl_97@mommy.internal,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-10-17,2024-10-18
sl_98@mommy.internal,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2024-10-31,2024-11-01
sl_99@mommy.internal,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-11-15,2024-11-16
sl_100@mommy.internal,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2024-12-14,2024-12-15
sl_101@mommy.internal,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2024-12-25,2024-12-26
