UID,Summary,Categories,Start,End
sl_26@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-01-14,2022-01-15
sl_27@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-01-17,2022-01-18
sl_28@srilanka-holidays.api,Independence Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-02-04,2022-02-05
sl_29@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-02-16,2022-02-17
sl_30@srilanka-holidays.api,Maha sivarathri Day *†,"- Public Holiday
- Bank Holiday",2022-03-01,2022-03-02
sl_31@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-03-17,2022-03-18
sl_32@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-04-13,2022-04-14
sl_33@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-04-14,2022-04-15
sl_34@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2022-04-15,2022-04-16
sl_35@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-04-16,2022-04-17
sl_36@srilanka-holidays.api,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-05-01,2022-05-02
sl_37@srilanka-holidays.api,Id-Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2022-05-03,2022-05-04
sl_38@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-05-15,2022-05-16
sl_39@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-05-16,2022-05-17
sl_40@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-06-14,2022-06-15
sl_41@srilanka-holidays.api,Id-Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2022-07-10,2022-07-11
sl_42@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-07-13,2022-07-14
sl_43@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-08-11,2022-08-12
sl_44@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-09-10,2022-09-11
sl_45@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-10-09,2022-10-10
sl_46@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet’s Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-10-09,2022-10-10
sl_47@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2022-10-24,2022-10-25
sl_48@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-11-07,2022-11-08
sl_49@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday",2022-12-07,2022-12-08
sl_50@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2022-12-25,2022-12-26
