UID,Summary,Categories,Start,End
sl_2028_01@srilanka-holidays.api,Duruthu Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-01-12,2028-01-13
sl_2028_02@srilanka-holidays.api,Tamil Thai Pongal Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-01-14,2028-01-15
sl_2028_03@srilanka-holidays.api,National Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-02-04,2028-02-05
sl_2028_04@srilanka-holidays.api,Mahasivarathri Day *†,"- Public Holiday
- Bank Holiday",2028-02-23,2028-02-24
sl_2028_05@srilanka-holidays.api,Nawam Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-02-25,2028-02-26
sl_2028_06@srilanka-holidays.api,Id Ul-Fitr (Ramazan Festival Day) *†,"- Public Holiday
- Bank Holiday",2028-02-26,2028-02-27
sl_2028_07@srilanka-holidays.api,Madin Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-03-25,2028-03-26
sl_2028_08@srilanka-holidays.api,Day prior to Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-04-13,2028-04-14
sl_2028_09@srilanka-holidays.api,Good Friday *†,"- Public Holiday
- Bank Holiday",2028-04-14,2028-04-15
sl_2028_10@srilanka-holidays.api,Sinhala & Tamil New Year Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-04-14,2028-04-15
sl_2028_11@srilanka-holidays.api,Bak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-04-24,2028-04-25
sl_2028_12@srilanka-holidays.api,May Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-05-01,2028-05-02
sl_2028_13@srilanka-holidays.api,Id Ul-Alha (Hadji Festival Day) *†,"- Public Holiday
- Bank Holiday",2028-05-05,2028-05-06
sl_2028_14@srilanka-holidays.api,Vesak Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-05-23,2028-05-24
sl_2028_15@srilanka-holidays.api,Day following Vesak Full Moon Poya Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday
- Poya Holiday",2028-05-24,2028-05-25
sl_2028_16@srilanka-holidays.api,Poson Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-06-22,2028-06-23
sl_2028_17@srilanka-holidays.api,Esala Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-07-21,2028-07-22
sl_2028_18@srilanka-holidays.api,Milad-Un-Nabi (Holy Prophet's Birthday) *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-08-03,2028-08-04
sl_2028_19@srilanka-holidays.api,Nikini Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-08-20,2028-08-21
sl_2028_20@srilanka-holidays.api,Binara Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-09-18,2028-09-19
sl_2028_21@srilanka-holidays.api,Deepavali Festival Day *†,"- Public Holiday
- Bank Holiday",2028-10-17,2028-10-18
sl_2028_22@srilanka-holidays.api,Vap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-10-18,2028-10-19
sl_2028_23@srilanka-holidays.api,Il Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-11-16,2028-11-17
sl_2028_24@srilanka-holidays.api,Unduvap Full Moon Poya Day *†,"- Public Holiday
- Bank Holiday
- Poya Holiday",2028-12-15,2028-12-16
sl_2028_25@srilanka-holidays.api,Christmas Day *†‡,"- Public Holiday
- Bank Holiday
- Mercantile Holiday",2028-12-25,2028-12-26
